"5";"Exérèse du thymus vestigial, par thoracotomie"
"HEMA001";"oesophagocoloplastie rétrosternale sans oesophagectomie, avec anastomose oesophagocolique, par cervicotomie et laparotomie"
"HEMA003";"Reconstruction de l'oesophage et fermeture de la fistule en un temps pour atrésie avec fistule, par thoracotomie"
"HENE001";"Séance de destruction photodynamique de lésion de l'oesophage ou de l'estomac avec laser, par oeso-gastro-duodénoscopie"
"HENE003";"Séance de destruction d'une hétérotopie de la muqueuse de l'oesophage inférieur, par endoscopie"
"HENE004";"Séance de destruction de lésion de l'oesophage ou de l'estomac sans laser, par oeso-gastro-duodénoscopie"
"HEPC003";"oeso-cardio-myotomie extramuqueuse avec réalisation de procédé antireflux, par coelioscopie"
"HEQD002";"pH-métrie oesophagienne et/ou gastrique sur 24 heures"
"HEQD003";"Manométrie oesophagienne"
"HEQE001";"oesophagoscopie au tube rigide"
"HEQE002";"Endoscopie oeso-gastro-duodénale"
"HEQE004";"Endoscopie oeso-gastro-duodénale peropératoire"
"HEQH001";"Radiographie de l'oesophage avec opacification par produit de contraste [Transit oesophagien]"
"HEQH002";"Radiographie oeso-gastro-duodénale avec opacification par produit de contraste [Transit oeso-gastro-duodénal]"
"HEQJ001";"Échoendoscopie oesogastrique sans biopsie"
"HEQJ002";"Échoendoscopie oesogastrique avec biopsie transpariétale oesogastrique guidée"
"HERD001";"Test de provocation douloureuse pour recherche d'une affection de l'oesophage"
"HESE001";"Hémostase de lésion de l'oesophage, de l'estomac et/ou du duodénum avec laser, par oeso-gastro-duodénoscopie"
"HESE002";"Hémostase de lésion de l'oesophage, de l'estomac et/ou du duodénum sans laser, par oeso-gastro-duodénoscopie"
"HFAE001";"Dilatation du pylore, par oeso-gastro-duodénoscopie"
"HFAH001";"Dilatation du pylore, avec guidage radiologique"
"HFCA002";"Gastrostomie cutanée, par laparotomie"
"HFCA003";"Suture de plaie ou de perforation de l'estomac ou du duodénum, par laparotomie"
"HFCA004";"Gastrojéjunostomie de dérivation [Gastro-entéro-anastomose sans résection gastrique], par laparotomie"
"HFCB001";"Gastrostomie, par voie transcutanée avec guidage endoscopique"
"HFCH001";"Gastrostomie, par voie transcutanée avec guidage échographique et/ou radiologique"
"HFFA005";"Gastrectomie totale avec rétablissement de la continuité, par laparotomie"
"HFFA006";"Gastrectomie partielle inférieure avec anastomose gastrojéjunale, par laparotomie"
"HFFA009";"Résection partielle atypique de la paroi de l'estomac n'interrompant pas la continuité, par laparotomie"
"HFFC002";"Gastrectomie partielle inférieure avec anastomose gastrojéjunale, par coelioscopie"
"HFHD001";"Prélèvement de liquide gastrique par tubage, sans épreuve pharmacologique"
"HFKD001";"Changement d'une sonde de gastrostomie, par voie externe sans guidage"
"HFKE001";"Changement d'une sonde de gastrostomie ou de gastrojéjunostomie, par oeso-gastro-duodénoscopie"
"HFKH001";"Changement d'une sonde de gastrostomie ou de gastrojéjunostomie, par voie externe avec guidage radiologique"
"HFLE001";"Pose d'une sonde gastrique, duodénale ou jéjunale, par oeso-gastro-duodénoscopie"
"HFLH001";"Pose d'une sonde gastrique, duodénale ou jéjunale, avec guidage radiologique"
"HFLH002";"Pose d'une endoprothèse de l'estomac ou du duodénum, avec guidage radiologique"
"HFMA002";"Adaptation, ablation ou changement d'anneau ajustable périgastrique, par laparotomie"
"HFMA003";"Confection d'une valve tubérositaire sans libération de la grande courbure gastrique, par laparotomie"
"HFMA004";"Pyloroplastie ou duodénoplastie, par laparotomie"
"HFMA005";"Totalisation secondaire de gastrectomie avec rétablissement de la continuité, par laparotomie"
"HFMA008";"Confection d'une valve tubérositaire avec libération de la grande courbure gastrique, par laparotomie"
"HFMC001";"Confection d'une valve tubérositaire avec libération de la grande courbure gastrique, par coelioscopie"
"HFMC002";"Adaptation, ablation ou changement d'anneau ajustable périgastrique, par coelioscopie"
"HFMC004";"Confection d'une valve tubérositaire sans libération de la grande courbure gastrique, par coelioscopie"
"HFMC005";"Gastroplastie pour obésité morbide, par coelioscopie"
"HFPA001";"Gastrotomie à visée thérapeutique, par laparotomie"
"HFPA002";"Pylorotomie extramuqueuse [Pyloromyotomie extramuqueuse], par laparotomie"
"HFQD001";"Manométrie gastro-duodéno-jéjunale avec enregistrement de l'activité antro-pyloro-duodénale"
"HFQL002";"Scintigraphie du transit gastrique ou duodénal par substance solide ou liquide sans épreuve pharmacologique"
"HGAE001";"Dilatation d'une sténose iléale, par iléoscopie"
"HGCA002";"Suture de plaie ou de perforation de l'intestin grêle, par laparotomie"
"HGCA004";"Entérostomie ou colostomie cutanée de protection, au cours d'une résection intestinale avec rétablissement de la continuité"
"HGCA008";"Entérostomie cutanée, par laparotomie"
"HGEA001";"Détorsion intestinale ou section de bride péritonéale pour vice de rotation de l'anse intestinale primitive, par laparotomie"
"HGEA003";"Réduction d'invagination intestinale aigüe, par laparotomie"
"HGEH001";"Réduction totale ou partielle d'invagination intestinale aigüe par lavement opaque ou insufflation, avec guidage radiologique"
"HGFA003";"Résection segmentaire unique de l'intestin grêle sans rétablissement de la continuité, en dehors de l'occlusion, par laparotomie"
"HGFA004";"Résection segmentaire multiple de l'intestin grêle, par laparotomie"
"HGFA005";"Résection segmentaire unique de l'intestin grêle pour occlusion, par laparotomie"
"HGFA006";"Résection du diverticule de Meckel, par laparotomie"
"HGFA007";"Résection segmentaire unique de l'intestin grêle avec rétablissement de la continuité, en dehors de l'occlusion, par laparotomie"
"HGFA011";"Exérèse de duplication de l'intestin grêle avec résection intestinale, par laparotomie"
"HGFA012";"Résection de l'intestin grêle et/ou du côlon pour péritonite néonatale, par laparotomie"
"HGFA013";"Résection totale de l'intestin grêle, par laparotomie"
"HGFA014";"Exérèse de la papille duodénale majeure, par laparotomie"
"HGFC002";"Résection du diverticule de Meckel, par coelioscopie"
"HGLA001";"Pose d'une sonde de jéjunostomie pour alimentation entérale, par laparotomie"
"HGLE001";"Pose d'une endoprothèse du duodénum, par oeso-gastro-duodénoscopie"
"HGMA001";"Confection secondaire d'une iléostomie continente de Koch, par laparotomie"
"HGMA005";"Rétablissement secondaire de la continuité de l'intestin grêle, par laparotomie"
"HGNE001";"Séance de destruction de lésion du duodénum, par oeso-gastro-duodénoscopie"
"HGPA001";"Duodénotomie à visée thérapeutique ou duodénectomie partielle, par laparotomie"
"HGPA002";"Entérotomie à visée thérapeutique, par laparotomie"
"HGPA004";"Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe par laparotomie"
"HGQE001";"Entéroscopie jéjunale avec entéroscopie iléale"
"HGQE002";"Duodénoscopie par appareil à vision latérale"
"HGQE003";"Entéroscopie jéjunale [Jéjunoscopie]"
"HGQE004";"Entéroscopie jéjunale et/ou iléale peropératoire"
"HGQE005";"Entéroscopie iléale [Iléoscopie]"
"HGQH001";"Radiographie de l'intestin grêle avec administration de produit de contraste par une sonde nasoduodénale [entéroclyse]"
"HGQH002";"Radiographie de l'intestin grêle avec ingestion de produit de contraste [Transit du grêle]"
"HGQJ001";"Échoendoscopie duodénale avec biopsie transduodénale guidée"
"HGQJ002";"Échoendoscopie duodénale sans biopsie"
"HGSA001";"Fermeture d'entérostomie cutanée, par abord direct"
"HHAE001";"Dilatation d'une sténose du côlon et/ou du rectum, par endoscopie"
"HHCA001";"Suture de plaie ou de perforation du côlon, par laparotomie"
"HHCA002";"Colostomie cutanée, par laparotomie"
"HHEE001";"Détorsion d'un volvulus du côlon, par endoscopie"
"HHFA001";"Appendicectomie, par abord de la fosse iliaque"
"HHFA002";"Colectomie gauche avec libération de l'angle gauche, avec rétablissement de la continuité, par laparotomie avec préparation par coelioscopie"
"HHFA004";"Colectomie totale avec conservation du rectum, avec anastomose iléorectale, par laparotomie avec préparation par coelioscopie"
"HHFA006";"Colectomie gauche avec libération de l'angle gauche, avec rétablissement de la continuité, par laparotomie"
"HHFA008";"Colectomie droite avec rétablissement de la continuité, par laparotomie avec préparation par coelioscopie"
"HHFA009";"Colectomie droite avec rétablissement de la continuité, par laparotomie"
"HHFA010";"Colectomie gauche sans libération de l'angle gauche, avec rétablissement de la continuité, par laparotomie avec préparation par coelioscopie"
"HHFA011";"Appendicectomie, par laparotomie"
"HHFA014";"Colectomie gauche sans libération de l'angle gauche, sans rétablissement de la continuité, par laparotomie"
"HHFA016";"Appendicectomie, par coelioscopie ou par laparotomie avec préparation par coelioscopie"
"HHFA017";"Colectomie gauche sans libération de l'angle gauche, avec rétablissement de la continuité, par laparotomie"
"HHFA018";"Colectomie transverse, par laparotomie"
"HHFA020";"Appendicectomie avec toilette péritonéale pour péritonite aigüe généralisée, par laparotomie"
"HHFA021";"Colectomie totale avec conservation du rectum, sans rétablissement de la continuité, par laparotomie"
"HHFA022";"Colectomie totale avec conservation du rectum, avec anastomose iléorectale, par laparotomie"
"HHFA023";"Colectomie transverse, par laparotomie avec préparation par coelioscopie"
"HHFA024";"Colectomie gauche avec libération de l'angle gauche, sans rétablissement de la continuité, par laparotomie"
"HHFA025";"Appendicectomie avec toilette péritonéale pour péritonite aigüe généralisée, par coelioscopie ou par laparotomie avec préparation par coelioscopie"
"HHFE001";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par rectosigmoïdoscopie ou coloscopie partielle"
"HHFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre du côlon et/ou du rectum, par coloscopie totale"
"HHFE004";"Exérèse d'un polype de plus de 1cm de diamètre ou de plus de 3 polypes du côlon et/ou du rectum, par coloscopie totale"
"HHFE005";"Exérèse d'un polype de plus de 1cm de diamètre ou de plus de 3 polypes du côlon et/ou du rectum, par rectosigmoïdoscopie ou coloscopie partielle"
"HHJE001";"Exsufflation du côlon, par endoscopie"
"HHLH001";"Pose d'une endoprothèse du côlon, avec guidage radiologique"
"HHMA001";"Plastie d'élargissement de stomie cutanée intestinale"
"HHMA002";"Réfection de stomie cutanée intestinale, par laparotomie"
"HHMA003";"Rétablissement secondaire de la continuité digestive après colectomie, par laparotomie"
"HHNE001";"Séance de destruction de lésion du côlon et/ou du rectum sans laser, par coloscopie totale"
"HHNE004";"Séance de destruction de lésion du côlon et/ou du rectum sans laser, par rectosigmoïdoscopie ou coloscopie partielle"
"HHQE002";"Coloscopie totale, avec franchissement de l'orifice iléocolique"
"HHQE003";"Exploration complète du côlon après colectomie droite, par endoscopie"
"HHQE004";"Coloscopie partielle au delà du côlon sigmoïde"
"HHQE005";"Coloscopie totale avec visualisation du bas-fond cæcal, sans franchissement de l'orifice iléocolique"
"HHQH001";"Radiographie du côlon avec opacification par produit de contraste"
"HHSA001";"Fermeture de colostomie cutanée latérale, par abord direct"
"HHSE002";"Hémostase de lésion du côlon sans laser, par coloscopie totale"
"HJAD001";"Dilatation ou incision de sténose anorectale"
"HJCA001";"Suture de plaie ou de perforation intrapéritonéale du rectum, par laparotomie"
"HJCC001";"Suture de plaie ou de perforation intrapéritonéale du rectum, par coelioscopie"
"HJEA004";"Abaissement du rectum pour malformation anorectale haute ou intermédiaire, par abord périnéal médian"
"HJFA001";"Résection rectocolique avec abaissement colique rétrorectal par laparotomie, avec anastomose colorectale par voie anale"
"HJFA002";"Résection rectosigmoïdienne avec anastomose colorectale souspéritonéale, par laparotomie"
"HJFA004";"Résection rectosigmoïdienne avec anastomose colorectale souspéritonéale, par laparotomie avec préparation par coelioscopie"
"HJFA006";"Résection rectosigmoïdienne par laparotomie, avec anastomose coloanale par voie anale ou par abord transsphinctérien"
"HJFA007";"Amputation du rectum, par laparotomie et abord périnéal"
"HJFA008";"Résection circonférentielle de la muqueuse d'un prolapsus rectal et plicature de la musculeuse, par abord périnéal"
"HJFA011";"Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par laparotomie"
"HJFA012";"Proctectomie secondaire par laparotomie avec anastomose iléoanale par voie transanale, après colectomie totale initiale"
"HJFA016";"Résection rectocolique subtotale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou voie anale"
"HJFA017";"Résection rectosigmoïdienne par laparotomie avec préparation par coelioscopie, avec anastomose coloanale par voie anale"
"HJFA026";"Séance de mucosectomie pour tumeur rectocolique, par coloscopie partielle ou totale"
"HJFD002";"Exérèse de tumeur du rectum, par voie anale"
"HJFD003";"Résection rectosigmoïdienne pour aganglionose congénitale avec rétablissement de la continuité, par voie anale"
"HJFD004";"Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse, par voie anale"
"HJGD001";"Extraction de corps étranger ou de fécalome intrarectal, par voie anale sous anesthésie générale ou locorégionale"
"HJHD002";"Biopsie de la musculeuse du rectum, par voie anale"
"HJMA002";"Reconstruction de la paroi antérieure de l'anus et du rectum et de la paroi postérieure du vagin, avec sphinctéroplastie anale, par abord périnéal"
"HJND001";"Destruction de lésion du rectum, par voie anale"
"HJQD001";"Examen du rectum sous anesthésie générale, par voie anale"
"HJQD002";"Manométrie anorectale"
"HJQE001";"Rectosigmoïdoscopie"
"HJQE002";"Rectoscopie au tube rigide"
"HJQJ002";"Échoendoscopie anorectale sans biopsie"
"HJQJ003";"Échographie du rectum et de l'anus, par voie rectale et/ou vaginale [par voie cavitaire]"
"HKCA002";"Myorraphie rétroanale des muscles élévateurs de l'anus"
"HKCA003";"Suture de plaie de l'anus, avec réparation du muscle sphincter externe de l'anus"
